Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-01,17:05:55:00,-1.76,-1.81,0.37,170.05,47.06,-71.75
2025-02-01,17:06:00:00,1.08,-1.64,1.37,-132.71,-148.33,-242.39
2025-02-01,17:06:05:00,1.82,-0.71,-1.08,-98.42,207.98,118.02
2025-02-01,17:06:10:00,-1.2,1.32,1.41,164.82,193.93,173.92
2025-02-01,17:06:15:00,-0.47,0.35,-0.17,-29.03,-159.2,187.78
2025-02-01,17:06:20:00,-0.35,-1.03,0.74,-127.42,100.19,-8.19
2025-02-01,17:06:25:00,0.8,1.53,-1.85,211.84,90.73,-39.34
2025-02-01,17:06:30:00,-0.72,1.57,-0.56,-99.11,128.17,26.98
2025-02-01,17:06:35:00,-1.79,-0.45,-1.86,75.37,60.69,117.63
2025-02-01,17:06:40:00,-1.07,-1.69,1.15,-95.4,113.4,-168.08
2025-02-01,17:06:45:00,-0.85,-0.4,-1.65,235.24,-238.53,-74.29
2025-02-01,17:06:50:00,-0.96,1.9,0.78,144.32,-177.2,196.32
2025-02-01,17:06:55:00,-0.14,-0.63,-0.85,174.21,95.37,116.23
2025-02-01,17:07:00:00,-0.1,-0.96,-1.61,-226.33,-136.52,-12.57
2025-02-01,17:07:05:00,0.31,-1.64,-0.17,117.11,233.62,112.02
2025-02-01,17:07:10:00,-0.56,-1.41,1.27,-43.5,-195.63,-215.27
2025-02-01,17:07:15:00,-0.26,1.72,1.4,185.28,-116.93,-116.08
2025-02-01,17:07:20:00,1.77,-1.38,-0.64,68.82,-24.73,147.82
2025-02-01,17:07:25:00,0.05,-1.84,-1.01,-123.07,-178.11,-26.83
2025-02-01,17:07:30:00,-1.58,1.83,0.61,-68.09,-238.42,10.2
2025-02-01,17:07:35:00,0.08,1.36,-0.05,136.62,65.87,-234.8
2025-02-01,17:07:40:00,-1.12,1.93,-1.23,16.1,70.6,-54.36
2025-02-01,17:07:45:00,-0.73,-1.03,-0.63,200.56,-149.55,-176.44
2025-02-01,17:07:50:00,-0.99,0.55,-0.86,-213.79,64.19,-86.29
2025-02-01,17:07:55:00,1.99,0.88,1.21,185.07,-26.66,-99.29
2025-02-01,17:08:00:00,-0.52,-1.92,0.71,-248.8,-55.28,39.87
2025-02-01,17:08:05:00,0.71,1.84,0.04,158.88,99.69,104.79
2025-02-01,17:08:10:00,-0.89,0.95,0.03,-139.25,-0.53,-23.28
2025-02-01,17:08:15:00,-1.7,-0.65,1.2,148.64,-61.68,-104.67
2025-02-01,17:08:20:00,0.79,1.05,1.82,40.61,-194.52,-131.6
2025-02-01,17:08:25:00,1.58,0.91,-0.24,169.57,-116.38,-165.97
2025-02-01,17:08:30:00,-0.96,1.74,1.82,-245.84,103.12,-208.59
2025-02-01,17:08:35:00,1.89,0.53,1.28,76.44,-108.56,-38.8
2025-02-01,17:08:40:00,1.8,-0.32,-0.43,-109.03,199.0,22.89
2025-02-01,17:08:45:00,-0.08,-0.07,-0.14,-180.91,184.45,-237.93
2025-02-01,17:08:50:00,1.97,1.74,-1.1,36.6,215.92,45.81
2025-02-01,17:08:55:00,-1.28,-0.43,-0.21,-17.04,27.5,16.62
2025-02-01,17:09:00:00,0.83,1.83,0.89,-97.28,127.25,-230.84
2025-02-01,17:09:05:00,0.32,1.38,1.07,194.48,-121.7,63.4
2025-02-01,17:09:10:00,0.63,0.95,0.03,233.61,183.82,217.22
2025-02-01,17:09:15:00,-0.47,1.07,1.15,-112.43,71.35,92.29
2025-02-01,17:09:20:00,-0.14,-1.6,-0.35,-93.06,-143.27,-66.19
2025-02-01,17:09:25:00,0.81,-1.76,1.4,-176.96,-36.27,26.47
2025-02-01,17:09:30:00,1.51,-1.9,1.83,-66.91,196.16,192.62
2025-02-01,17:09:35:00,1.75,-1.47,-0.66,139.09,147.52,-151.24
2025-02-01,17:09:40:00,-1.56,0.13,1.36,-87.4,224.41,122.79
2025-02-01,17:09:45:00,-1.06,1.85,0.13,32.5,-114.18,-88.21
2025-02-01,17:09:50:00,-1.12,-1.77,-1.37,-117.52,-150.62,137.14
2025-02-01,17:09:55:00,-1.15,1.61,0.66,123.23,-206.16,161.35
2025-02-01,17:10:00:00,-0.76,0.71,0.49,238.26,205.1,217.87
2025-02-01,17:10:05:00,-0.85,1.22,0.02,96.53,-246.33,-48.76
2025-02-01,17:10:10:00,-1.76,-0.83,-1.57,160.96,-222.19,81.48
2025-02-01,17:10:15:00,0.19,1.06,0.65,-113.26,233.54,-154.42
2025-02-01,17:10:20:00,-1.1,-1.73,1.6,-146.21,-36.49,-138.83
2025-02-01,17:10:25:00,0.56,0.73,-0.44,-161.31,-94.38,-177.05
2025-02-01,17:10:30:00,0.74,-0.05,-0.88,-153.75,106.82,-193.7
2025-02-01,17:10:35:00,-0.67,0.16,-0.98,-231.96,159.93,-40.89
2025-02-01,17:10:40:00,1.84,0.5,1.84,19.22,-213.44,156.08
2025-02-01,17:10:45:00,-1.21,-0.31,-1.05,-18.48,-177.92,-109.28
2025-02-01,17:10:50:00,0.25,-1.47,-1.57,-94.36,-123.84,156.02
2025-02-01,17:10:55:00,0.93,1.76,-0.7,243.04,129.63,40.31
2025-02-01,17:11:00:00,0.77,-1.71,-1.66,153.83,221.95,214.51
2025-02-01,17:11:05:00,1.98,1.78,-1.11,60.47,101.54,-166.0
2025-02-01,17:11:10:00,1.07,1.73,-1.52,-9.11,-91.79,-52.75
2025-02-01,17:11:15:00,0.55,-0.28,0.58,-165.91,-185.77,-139.53
2025-02-01,17:11:20:00,-0.27,-0.43,1.35,-234.98,82.48,103.72
2025-02-01,17:11:25:00,-0.47,-0.35,-0.94,-51.77,47.1,193.56
2025-02-01,17:11:30:00,-1.4,-0.18,1.54,75.03,236.8,219.78
2025-02-01,17:11:35:00,-1.14,-1.77,-1.23,170.42,-93.12,233.6
2025-02-01,17:11:40:00,1.58,0.22,1.28,-21.98,234.17,-212.88
2025-02-01,17:11:45:00,0.43,-1.94,0.91,186.76,-75.34,142.87
2025-02-01,17:11:50:00,0.61,0.99,0.1,-20.78,40.16,-35.84
2025-02-01,17:11:55:00,1.53,0.22,1.45,-10.37,236.12,210.78
2025-02-01,17:12:00:00,-1.83,-1.08,1.11,197.04,199.28,140.85
2025-02-01,17:12:05:00,0.48,0.95,-0.43,-142.31,235.58,-115.61
2025-02-01,17:12:10:00,1.24,-0.39,1.61,-106.87,102.98,223.1
2025-02-01,17:12:15:00,0.01,1.25,0.44,-1.55,-71.19,-11.63
2025-02-01,17:12:20:00,1.7,0.86,-1.52,73.88,-182.12,-7.87
2025-02-01,17:12:25:00,1.14,1.26,-1.24,70.56,30.38,-48.49
2025-02-01,17:12:30:00,-0.32,1.71,-0.21,21.98,-249.39,187.31
2025-02-01,17:12:35:00,-1.51,1.19,1.07,217.67,113.92,36.39
2025-02-01,17:12:40:00,-0.79,0.06,1.88,-57.57,-204.98,221.55
2025-02-01,17:12:45:00,-0.65,1.97,0.72,133.72,-161.32,-203.63
2025-02-01,17:12:50:00,-1.09,0.5,-0.31,119.87,78.92,-244.42
2025-02-01,17:12:55:00,-1.41,1.92,1.03,54.01,-84.68,152.06
2025-02-01,17:13:00:00,-0.22,0.96,1.74,181.45,239.26,-75.11
2025-02-01,17:13:05:00,0.95,-0.73,-1.85,23.28,-119.87,-133.87
2025-02-01,17:13:10:00,0.38,-0.35,1.03,227.92,-219.26,-188.97
2025-02-01,17:13:15:00,0.95,-1.52,-1.02,3.91,-156.7,59.0
2025-02-01,17:13:20:00,-1.56,0.04,-0.73,119.03,-157.08,-237.31
2025-02-01,17:13:25:00,1.17,-0.66,-1.34,-49.67,-150.24,-158.46
2025-02-01,17:13:30:00,-1.38,1.07,0.33,121.13,-107.08,-188.18
2025-02-01,17:13:35:00,1.3,1.4,-0.68,-77.61,-18.59,-225.37
2025-02-01,17:13:40:00,-1.17,-1.27,-1.85,144.03,-97.68,-45.44
2025-02-01,17:13:45:00,1.41,-1.96,-1.66,-243.4,-42.83,-175.67
2025-02-01,17:13:50:00,-0.74,-0.14,1.09,180.58,-202.13,-137.69
2025-02-01,17:13:55:00,1.86,-0.57,-1.59,-65.92,207.45,103.62
2025-02-01,17:14:00:00,1.06,1.82,0.36,5.1,-139.32,13.91
2025-02-01,17:14:05:00,1.47,1.48,-0.19,23.87,-222.29,-158.84
2025-02-01,17:14:10:00,0.58,1.1,-0.04,52.56,-249.84,200.59
2025-02-01,17:14:15:00,0.95,-1.86,-0.72,-160.52,-115.55,170.18
2025-02-01,17:14:20:00,1.23,0.12,0.46,-63.22,60.9,-45.64
2025-02-01,17:14:25:00,-1.7,-0.39,1.22,-173.59,-24.04,88.51
2025-02-01,17:14:30:00,0.72,-1.35,-1.95,-158.63,-144.65,199.77
2025-02-01,17:14:35:00,0.54,-1.43,-0.82,140.01,139.83,146.2
2025-02-01,17:14:40:00,0.06,0.93,-0.68,-127.61,76.98,97.24
2025-02-01,17:14:45:00,-0.26,0.25,1.56,-173.77,153.76,-227.24
2025-02-01,17:14:50:00,-1.84,0.03,0.89,-249.86,-61.52,-40.76
2025-02-01,17:14:55:00,-1.81,-0.08,-0.55,103.78,-49.0,-232.17
2025-02-01,17:15:00:00,-1.17,-1.98,1.63,211.43,19.18,69.73
2025-02-01,17:15:05:00,-1.99,0.97,-1.81,238.03,103.85,-74.15
2025-02-01,17:15:10:00,-1.56,-1.18,1.93,-165.1,115.96,-61.15
2025-02-01,17:15:15:00,-1.1,1.79,1.46,111.24,3.86,105.04
2025-02-01,17:15:20:00,-0.38,1.29,1.05,-141.09,-231.55,150.64
2025-02-01,17:15:25:00,-1.76,-1.55,0.12,-220.41,-184.37,66.75
2025-02-01,17:15:30:00,0.53,-0.05,1.93,217.54,235.67,-117.12
2025-02-01,17:15:35:00,-0.69,-0.32,1.71,-183.34,51.37,227.74
2025-02-01,17:15:40:00,-1.36,1.85,1.37,-184.6,235.27,128.98
2025-02-01,17:15:45:00,0.9,1.36,-0.88,118.46,32.2,-148.85
2025-02-01,17:15:50:00,1.17,1.84,0.65,-81.24,-242.63,205.52
2025-02-01,17:15:55:00,1.32,-0.45,-0.22,-55.69,194.78,-217.53
2025-02-01,17:16:00:00,-1.84,0.69,0.23,159.54,24.69,-69.59
2025-02-01,17:16:05:00,-1.56,0.6,1.9,221.41,-46.31,167.41
2025-02-01,17:16:10:00,-1.63,0.2,0.79,17.83,-102.45,-134.15
2025-02-01,17:16:15:00,-1.39,-1.34,-0.53,213.91,-249.67,-221.11
2025-02-01,17:16:20:00,-1.6,-0.53,-1.15,119.48,141.21,-165.24
2025-02-01,17:16:25:00,1.32,-1.37,-1.76,-109.14,-54.52,86.37
2025-02-01,17:16:30:00,-0.45,1.62,0.76,-147.75,138.15,151.23
2025-02-01,17:16:35:00,-0.09,1.42,-0.24,40.85,245.6,249.08
2025-02-01,17:16:40:00,0.62,1.86,0.62,7.13,148.29,-92.76
2025-02-01,17:16:45:00,-0.44,-0.28,0.53,79.74,121.93,125.43
2025-02-01,17:16:50:00,-0.09,-0.13,-1.11,-94.38,149.7,-185.21
2025-02-01,17:16:55:00,1.1,1.14,-1.07,246.18,-1.24,-69.54
2025-02-01,17:17:00:00,0.68,1.8,1.92,204.63,137.53,193.23
2025-02-01,17:17:05:00,0.54,0.05,-1.84,25.62,158.2,-136.0
2025-02-01,17:17:10:00,1.86,0.85,1.05,6.1,-100.97,222.36
2025-02-01,17:17:15:00,0.96,-0.08,1.41,-61.33,69.1,113.36
2025-02-01,17:17:20:00,0.68,1.76,-0.64,-94.99,183.89,-214.13
2025-02-01,17:17:25:00,-1.12,-0.43,-1.93,-137.93,136.35,-164.2
2025-02-01,17:17:30:00,-1.5,-0.87,1.61,-77.98,-243.5,95.74
2025-02-01,17:17:35:00,-0.15,0.96,1.02,-181.95,-139.66,-215.6
2025-02-01,17:17:40:00,-1.9,1.47,-0.07,220.14,208.87,-175.84
2025-02-01,17:17:45:00,0.63,-1.87,-0.08,104.21,-30.63,-232.17
2025-02-01,17:17:50:00,1.61,1.49,0.62,-248.68,191.58,16.01
2025-02-01,17:17:55:00,-1.19,0.91,1.72,201.81,-182.74,-229.3
2025-02-01,17:18:00:00,0.32,-0.49,-1.06,126.46,80.09,-51.11
2025-02-01,17:18:05:00,1.21,1.61,1.49,125.69,-25.01,-193.01
2025-02-01,17:18:10:00,0.36,0.95,-1.21,-146.08,-47.55,-102.75
2025-02-01,17:18:15:00,-1.99,0.45,-0.99,-239.18,5.19,-77.99
2025-02-01,17:18:20:00,-1.4,-0.54,-1.99,-145.11,107.28,-222.94
2025-02-01,17:18:25:00,1.68,-1.1,-0.99,234.39,-88.06,-231.77
2025-02-01,17:18:30:00,-1.78,-1.75,0.01,210.77,245.95,83.56
2025-02-01,17:18:35:00,1.66,-0.99,-1.93,30.53,-207.46,-133.46
2025-02-01,17:18:40:00,-0.94,-1.86,0.72,-216.75,-160.06,-86.6
2025-02-01,17:18:45:00,0.11,1.97,-0.91,231.33,78.34,178.51
2025-02-01,17:18:50:00,1.28,1.12,1.61,-43.55,165.97,-129.52
2025-02-01,17:18:55:00,-1.39,1.54,0.94,-104.51,-70.44,-20.33
2025-02-01,17:19:00:00,1.34,0.8,-0.53,-67.1,115.0,135.64
2025-02-01,17:19:05:00,1.85,1.78,1.0,-248.88,-222.5,-51.62
2025-02-01,17:19:10:00,0.49,-1.78,-1.74,-196.8,-146.42,39.38
2025-02-01,17:19:15:00,0.46,-1.18,0.59,244.41,89.82,17.42
2025-02-01,17:19:20:00,-0.45,0.81,-1.28,76.31,-4.2,60.39
2025-02-01,17:19:25:00,1.84,0.17,0.68,-233.35,-213.98,-232.6
2025-02-01,17:19:30:00,-0.83,-0.63,-0.03,18.41,-157.93,-149.32
2025-02-01,17:19:35:00,0.25,-1.34,0.97,15.9,-127.48,-42.24
2025-02-01,17:19:40:00,-1.21,0.47,-1.59,-225.95,-8.81,66.28
2025-02-01,17:19:45:00,-1.7,-1.25,0.22,-86.48,77.69,228.79
2025-02-01,17:19:50:00,0.49,1.6,-1.23,-132.5,-1.44,-201.18
2025-02-01,17:19:55:00,-0.74,-0.55,0.05,-193.42,229.98,148.54
2025-02-01,17:20:00:00,0.99,-0.68,-1.98,-197.38,5.28,213.6
2025-02-01,17:20:05:00,1.65,0.39,-1.74,-125.11,-64.51,-135.54
2025-02-01,17:20:10:00,1.82,0.63,0.51,-85.29,202.1,-206.48
2025-02-01,17:20:15:00,-0.72,1.02,-1.26,-47.44,192.87,-95.29
2025-02-01,17:20:20:00,1.35,-0.11,-0.05,-237.43,-85.08,-36.09
2025-02-01,17:20:25:00,1.22,-0.13,0.88,-4.19,-7.24,230.13
2025-02-01,17:20:30:00,1.91,-0.15,1.29,-41.71,-75.53,25.07
2025-02-01,17:20:35:00,-1.76,1.03,-0.18,-208.75,-208.42,201.68
2025-02-01,17:20:40:00,1.76,-1.18,1.83,-72.3,212.55,-165.26
2025-02-01,17:20:45:00,1.42,-0.44,-0.5,-47.15,-19.55,42.91
2025-02-01,17:20:50:00,0.54,-1.01,1.92,-152.17,-88.27,-208.6
2025-02-01,17:20:55:00,1.47,1.85,0.31,-220.38,-116.17,-227.94
2025-02-01,17:21:00:00,-1.56,1.24,-0.05,-96.97,-244.67,191.09
2025-02-01,17:21:05:00,-1.34,1.3,1.96,26.27,172.91,53.6
2025-02-01,17:21:10:00,-1.24,-0.47,-0.82,-80.08,-176.3,-2.77
2025-02-01,17:21:15:00,-1.83,-0.09,-1.32,-136.07,-247.68,-7.28
2025-02-01,17:21:20:00,0.71,-0.37,-0.68,51.15,-172.6,-91.46
2025-02-01,17:21:25:00,-1.88,0.84,-1.21,62.69,57.76,160.04
2025-02-01,17:21:30:00,-0.04,-0.02,1.19,55.21,119.62,145.24
2025-02-01,17:21:35:00,-1.84,0.71,0.75,246.31,219.51,227.6
2025-02-01,17:21:40:00,-1.54,0.13,1.9,-11.31,19.36,-207.87
2025-02-01,17:21:45:00,0.6,1.19,-0.99,221.05,39.36,128.15
2025-02-01,17:21:50:00,0.14,-0.12,-0.85,-240.1,-182.79,-199.68
2025-02-01,17:21:55:00,0.82,-0.18,-0.14,148.23,148.04,219.02
2025-02-01,17:22:00:00,-0.76,-0.66,-0.59,118.86,98.34,93.52
2025-02-01,17:22:05:00,-1.24,-0.38,-1.8,164.6,94.28,-39.13
2025-02-01,17:22:10:00,0.29,-0.6,0.16,108.78,-197.44,-158.61
2025-02-01,17:22:15:00,1.75,1.03,-0.6,53.76,141.48,-6.92
2025-02-01,17:22:20:00,-0.76,1.16,-1.65,141.56,-104.45,-214.82
2025-02-01,17:22:25:00,-1.05,-1.11,-1.43,36.02,-65.05,-75.86
2025-02-01,17:22:30:00,-1.35,1.09,-1.02,-245.99,47.74,162.2
2025-02-01,17:22:35:00,-1.98,1.73,-1.42,-71.6,-154.52,241.89
2025-02-01,17:22:40:00,0.98,-1.23,-0.96,-225.7,-18.71,3.94
2025-02-01,17:22:45:00,-0.36,-1.87,-0.89,-85.63,-49.62,-21.15
2025-02-01,17:22:50:00,1.31,0.41,-0.89,-123.45,-82.57,-54.39
2025-02-01,17:22:55:00,-1.19,-0.38,0.84,-233.46,-83.01,145.87
2025-02-01,17:23:00:00,0.1,-0.98,-0.83,-160.33,43.18,134.01
2025-02-01,17:23:05:00,0.88,0.57,-1.87,88.64,195.86,-159.7
2025-02-01,17:23:10:00,-0.18,-1.22,-1.84,-209.68,-128.85,157.71
2025-02-01,17:23:15:00,-0.84,-1.51,-1.42,-136.47,-228.04,224.16
2025-02-01,17:23:20:00,0.12,0.96,-1.36,-67.16,-76.86,228.2
2025-02-01,17:23:25:00,-1.82,0.0,-0.11,62.28,111.99,-98.05
2025-02-01,17:23:30:00,0.5,0.24,1.56,194.35,-132.88,-123.71
2025-02-01,17:23:35:00,-1.57,-0.78,0.87,-18.55,-34.39,-46.26
2025-02-01,17:23:40:00,-0.21,-1.71,1.23,-21.21,-122.39,88.64
2025-02-01,17:23:45:00,1.57,1.72,0.2,115.04,167.33,4.34
2025-02-01,17:23:50:00,1.39,-1.1,-0.79,247.17,-75.69,-116.05
2025-02-01,17:23:55:00,-1.44,1.71,-0.1,37.98,75.93,232.29
2025-02-01,17:24:00:00,1.65,-1.71,0.51,-99.92,-49.6,216.64
2025-02-01,17:24:05:00,-1.86,1.71,0.01,14.81,-191.7,-108.77
2025-02-01,17:24:10:00,1.61,-1.03,-1.88,-173.3,202.56,-187.43
2025-02-01,17:24:15:00,-0.03,-0.91,-0.49,-120.66,-19.59,-1.34
2025-02-01,17:24:20:00,0.11,-0.24,1.31,176.46,45.45,33.49
2025-02-01,17:24:25:00,-0.57,0.31,1.46,157.11,246.57,107.88
2025-02-01,17:24:30:00,1.09,0.53,-1.26,107.92,-64.4,197.77
2025-02-01,17:24:35:00,1.81,-0.82,0.31,-239.07,-237.16,-223.85
2025-02-01,17:24:40:00,-1.83,1.74,-0.91,21.47,125.78,-139.0
2025-02-01,17:24:45:00,1.8,1.15,1.98,92.64,-175.19,-51.54
2025-02-01,17:24:50:00,-0.79,-0.7,1.38,-100.78,-155.51,157.22
2025-02-01,17:24:55:00,-1.39,-0.06,-1.24,-154.92,-63.69,25.87
2025-02-01,17:25:00:00,-0.15,-0.29,0.34,34.42,-11.83,132.38
2025-02-01,17:25:05:00,-1.19,-0.17,1.99,-197.84,-201.55,50.96
2025-02-01,17:25:10:00,0.63,-0.3,0.38,97.34,-10.24,97.57
2025-02-01,17:25:15:00,1.95,-0.99,1.01,242.46,-48.62,-121.59
2025-02-01,17:25:20:00,-1.73,0.95,0.82,72.45,243.22,-247.38
2025-02-01,17:25:25:00,0.51,-1.51,1.07,-184.49,-164.85,30.39
2025-02-01,17:25:30:00,0.73,-1.55,1.01,-143.34,218.1,53.55
2025-02-01,17:25:35:00,1.63,0.79,1.7,-174.62,86.94,-223.69
2025-02-01,17:25:40:00,-0.54,0.07,1.61,121.32,245.44,114.59
2025-02-01,17:25:45:00,-0.3,0.1,-0.21,-200.93,47.14,-146.81
2025-02-01,17:25:50:00,0.8,-0.68,0.84,64.94,27.6,143.12
2025-02-01,17:25:55:00,-0.55,-1.12,0.17,-157.56,19.06,-236.86
2025-02-01,17:26:00:00,-1.94,-0.2,-1.73,127.4,-226.39,52.09
2025-02-01,17:26:05:00,-0.58,1.91,-1.84,224.46,234.25,-203.36
2025-02-01,17:26:10:00,-0.05,-1.05,-0.1,104.87,-239.73,93.86
2025-02-01,17:26:15:00,-0.57,-1.33,1.84,-234.88,249.15,-208.39
2025-02-01,17:26:20:00,0.87,-1.49,1.52,-166.51,-37.67,-197.27
2025-02-01,17:26:25:00,1.05,-1.84,0.96,240.98,13.24,221.56
2025-02-01,17:26:30:00,-0.7,1.48,-0.53,113.48,-209.35,103.63
2025-02-01,17:26:35:00,1.64,1.62,-0.56,-200.61,-163.73,-225.72
2025-02-01,17:26:40:00,-1.68,1.58,-1.01,151.72,164.28,66.08
2025-02-01,17:26:45:00,-1.59,0.85,-0.48,82.66,-73.31,-201.81
2025-02-01,17:26:50:00,-1.85,-0.23,-1.14,145.24,185.82,71.41
2025-02-01,17:26:55:00,1.11,-0.42,0.38,180.64,54.98,-7.31
2025-02-01,17:27:00:00,-0.86,-1.78,-0.62,89.37,-62.3,129.6
2025-02-01,17:27:05:00,1.79,-0.14,-1.89,48.74,-63.82,174.25
2025-02-01,17:27:10:00,-0.77,0.75,-1.25,122.26,107.26,-108.41
2025-02-01,17:27:15:00,-1.77,0.56,1.74,246.98,176.93,202.39
2025-02-01,17:27:20:00,0.9,-1.63,-1.16,212.07,191.77,143.54
2025-02-01,17:27:25:00,-1.2,0.12,0.99,-100.18,-243.06,50.13
2025-02-01,17:27:30:00,-0.35,0.59,0.16,-226.91,165.71,231.5
